name,bus0,bus1,num_parallel,length,type,s_max_pu,s_nom,capital_cost
L2_1,2,1,,185,Al/St 240/40 4-bundle 380.0,1,,
L2_3,2,3,,215,Al/St 240/40 4-bundle 380.0,1,,
L4_3,4,3,,340,Al/St 240/40 4-bundle 380.0,1,,
L2_5,2,5,,120,Al/St 240/40 4-bundle 380.0,1,,
L3_6,3,6,,60,Al/St 240/40 4-bundle 380.0,1,,
L3_8,3,8,,100,Al/St 240/40 4-bundle 380.0,1,,
L4_7,4,7,,210,Al/St 240/40 4-bundle 380.0,1,,
L7_11,7,11,,350,Al/St 240/40 4-bundle 380.0,1,,
L10_11,10,11,,220,Al/St 240/40 4-bundle 380.0,1,,
L10_7,10,7,,180,Al/St 240/40 4-bundle 380.0,1,,
L9_6,9,6,,240,Al/St 240/40 4-bundle 380.0,1,,
L9_10,9,10,,200,Al/St 240/40 4-bundle 380.0,1,,
L5_8,5,8,,80,Al/St 240/40 4-bundle 380.0,1,,
L9_8,9,8,,250,Al/St 240/40 4-bundle 380.0,1,,
L13_5,13,5,,350,Al/St 240/40 4-bundle 380.0,1,,
L12_11,12,11,,255,Al/St 240/40 4-bundle 380.0,1,,
L13_12,13,12,,310,Al/St 240/40 4-bundle 380.0,1,,
L13_14,13,14,,190,Al/St 240/40 4-bundle 380.0,1,,
